model_a,model_b,rule,n_evaluable,n01_a_wrong_b_right,n10_a_right_b_wrong,accuracy_a,accuracy_b,accuracy_delta_a_minus_b,f1_a,f1_b,f1_delta_a_minus_b,mcnemar_p_exact,bh_fdr_q_within_pair,significant_q_lt_0_05,pred_na_policy
MiniMax-M2.1,kimi-k2-thinking,H1,700,3,0,0.995714,1.000000,-0.004286,0.987654,1.000000,-0.012346,0.250000,0.312500,no,as_pass
MiniMax-M2.1,kimi-k2-thinking,H2,700,3,4,0.990000,0.988571,0.001429,0.966507,0.961905,0.004602,1.000000,1.000000,no,as_pass
MiniMax-M2.1,kimi-k2-thinking,H3,106,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
MiniMax-M2.1,kimi-k2-thinking,H4,700,21,5,0.965714,0.988571,-0.022857,0.942857,0.980100,-0.037242,0.002494,0.010452,yes,as_pass
MiniMax-M2.1,kimi-k2-thinking,H5,422,9,1,0.973934,0.992891,-0.018957,0.947867,0.985222,-0.037354,0.021484,0.035807,yes,as_pass
MiniMax-M2.1,kimi-k2-thinking,H6,700,14,2,0.972857,0.990000,-0.017143,0.920502,0.970213,-0.049711,0.004181,0.010452,yes,as_pass
MiniMax-M2.1,qwen3-235b-a22b-thinking-2507,H1,700,0,0,0.995714,0.995714,0.000000,0.987654,0.987654,0.000000,,,no,as_pass
MiniMax-M2.1,qwen3-235b-a22b-thinking-2507,H2,700,4,2,0.990000,0.992857,-0.002857,0.966507,0.975610,-0.009103,0.687500,0.687500,no,as_pass
MiniMax-M2.1,qwen3-235b-a22b-thinking-2507,H3,106,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
MiniMax-M2.1,qwen3-235b-a22b-thinking-2507,H4,700,20,11,0.965714,0.978571,-0.012857,0.942857,0.963504,-0.020647,0.149613,0.199484,no,as_pass
MiniMax-M2.1,qwen3-235b-a22b-thinking-2507,H5,422,11,2,0.973934,0.995261,-0.021327,0.947867,0.990099,-0.042232,0.022461,0.044922,yes,as_pass
MiniMax-M2.1,qwen3-235b-a22b-thinking-2507,H6,700,17,3,0.972857,0.992857,-0.020000,0.920502,0.978903,-0.058401,0.002577,0.010307,yes,as_pass
MiniMax-M2.1,qwen3-30b-a3b-thinking-2507,H1,700,0,2,0.995714,0.992857,0.002857,0.987654,0.979592,0.008062,0.500000,0.625000,no,as_pass
MiniMax-M2.1,qwen3-30b-a3b-thinking-2507,H2,700,4,2,0.990000,0.992857,-0.002857,0.966507,0.975610,-0.009103,0.687500,0.687500,no,as_pass
MiniMax-M2.1,qwen3-30b-a3b-thinking-2507,H3,106,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
MiniMax-M2.1,qwen3-30b-a3b-thinking-2507,H4,700,19,6,0.965714,0.984286,-0.018571,0.942857,0.973105,-0.030248,0.014633,0.036583,yes,as_pass
MiniMax-M2.1,qwen3-30b-a3b-thinking-2507,H5,422,11,0,0.973934,1.000000,-0.026066,0.947867,1.000000,-0.052133,0.000977,0.004883,yes,as_pass
MiniMax-M2.1,qwen3-30b-a3b-thinking-2507,H6,700,19,30,0.972857,0.957143,0.015714,0.920502,0.888060,0.032442,0.152408,0.254013,no,as_pass
MiniMax-M2.1,qwen3-next-80b-a3b-thinking,H1,700,3,0,0.995714,1.000000,-0.004286,0.987654,1.000000,-0.012346,0.250000,0.375000,no,as_pass
MiniMax-M2.1,qwen3-next-80b-a3b-thinking,H2,700,4,2,0.990000,0.992857,-0.002857,0.966507,0.975610,-0.009103,0.687500,0.825000,no,as_pass
MiniMax-M2.1,qwen3-next-80b-a3b-thinking,H3,106,0,1,1.000000,0.990566,0.009434,1.000000,0.995074,0.004926,1.000000,1.000000,no,as_pass
MiniMax-M2.1,qwen3-next-80b-a3b-thinking,H4,700,20,12,0.965714,0.977143,-0.011429,0.942857,0.961165,-0.018308,0.215327,0.375000,no,as_pass
MiniMax-M2.1,qwen3-next-80b-a3b-thinking,H5,422,11,0,0.973934,1.000000,-0.026066,0.947867,1.000000,-0.052133,0.000977,0.005859,yes,as_pass
MiniMax-M2.1,qwen3-next-80b-a3b-thinking,H6,700,13,22,0.972857,0.960000,0.012857,0.920502,0.890625,0.029877,0.175465,0.375000,no,as_pass
deepseek-v3.2-thinking,deterministic-baseline,H1,700,1,5,0.998571,0.992857,0.005714,0.995918,0.980080,0.015839,0.218750,0.262500,no,as_pass
deepseek-v3.2-thinking,deterministic-baseline,H2,700,6,105,0.991429,0.850000,0.141429,0.971154,0.036697,0.934457,0.000000,0.000000,yes,as_pass
deepseek-v3.2-thinking,deterministic-baseline,H3,106,0,2,1.000000,0.981132,0.018868,1.000000,0.990099,0.009901,0.500000,0.500000,no,as_pass
deepseek-v3.2-thinking,deterministic-baseline,H4,700,3,12,0.991429,0.978571,0.012857,0.985149,0.961440,0.023709,0.035156,0.070313,no,as_pass
deepseek-v3.2-thinking,deterministic-baseline,H5,422,4,0,0.990521,1.000000,-0.009479,0.980392,1.000000,-0.019608,0.125000,0.187500,no,as_pass
deepseek-v3.2-thinking,deterministic-baseline,H6,700,8,23,0.987143,0.965714,0.021429,0.962025,0.908397,0.053628,0.010674,0.032022,yes,as_pass
deepseek-v3.2-thinking,gemini-3-pro-preview-thinking,H1,700,0,2,0.998571,0.995714,0.002857,0.995918,0.987654,0.008264,0.500000,0.625000,no,as_pass
deepseek-v3.2-thinking,gemini-3-pro-preview-thinking,H2,700,1,1,0.991429,0.991429,0.000000,0.971154,0.970874,0.000280,1.000000,1.000000,no,as_pass
deepseek-v3.2-thinking,gemini-3-pro-preview-thinking,H3,106,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
deepseek-v3.2-thinking,gemini-3-pro-preview-thinking,H4,700,0,7,0.991429,0.981429,0.010000,0.985149,0.968370,0.016779,0.015625,0.078125,no,as_pass
deepseek-v3.2-thinking,gemini-3-pro-preview-thinking,H5,422,4,0,0.990521,1.000000,-0.009479,0.980392,1.000000,-0.019608,0.125000,0.312500,no,as_pass
deepseek-v3.2-thinking,gemini-3-pro-preview-thinking,H6,700,5,1,0.987143,0.992857,-0.005714,0.962025,0.978541,-0.016515,0.218750,0.364583,no,as_pass
deepseek-v3.2-thinking,gpt-5.2,H1,700,0,0,0.998571,0.998571,0.000000,0.995918,0.995918,0.000000,,,no,as_pass
deepseek-v3.2-thinking,gpt-5.2,H2,700,0,6,0.991429,0.982857,0.008571,0.971154,0.943396,0.027758,0.031250,0.041667,yes,as_pass
deepseek-v3.2-thinking,gpt-5.2,H3,106,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
deepseek-v3.2-thinking,gpt-5.2,H4,700,2,19,0.991429,0.967143,0.024286,0.985149,0.945626,0.039522,0.000221,0.000443,yes,as_pass
deepseek-v3.2-thinking,gpt-5.2,H5,422,4,7,0.990521,0.983412,0.007109,0.980392,0.966184,0.014209,0.548828,0.548828,no,as_pass
deepseek-v3.2-thinking,gpt-5.2,H6,700,8,397,0.987143,0.431429,0.555714,0.962025,0.374214,0.587811,0.000000,0.000000,yes,as_pass
deepseek-v3.2-thinking,gpt-oss-120b,H1,700,1,1,0.998571,0.998571,0.000000,0.995918,0.995951,-0.000033,1.000000,1.000000,no,as_pass
deepseek-v3.2-thinking,gpt-oss-120b,H2,700,2,3,0.991429,0.990000,0.001429,0.971154,0.966507,0.004647,1.000000,1.000000,no,as_pass
deepseek-v3.2-thinking,gpt-oss-120b,H3,106,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
deepseek-v3.2-thinking,gpt-oss-120b,H4,700,1,19,0.991429,0.965714,0.025714,0.985149,0.941176,0.043972,0.000040,0.000200,yes,as_pass
deepseek-v3.2-thinking,gpt-oss-120b,H5,422,4,0,0.990521,1.000000,-0.009479,0.980392,1.000000,-0.019608,0.125000,0.312500,no,as_pass
deepseek-v3.2-thinking,gpt-oss-120b,H6,700,3,7,0.987143,0.981429,0.005714,0.962025,0.945607,0.016419,0.343750,0.572917,no,as_pass
deepseek-v3.2-thinking,gpt-oss-20b,H1,700,1,2,0.998571,0.997143,0.001429,0.995918,0.991935,0.003983,1.000000,1.000000,no,as_pass
deepseek-v3.2-thinking,gpt-oss-20b,H2,700,1,1,0.991429,0.991429,0.000000,0.971154,0.971154,0.000000,1.000000,1.000000,no,as_pass
deepseek-v3.2-thinking,gpt-oss-20b,H3,106,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
deepseek-v3.2-thinking,gpt-oss-20b,H4,700,1,21,0.991429,0.962857,0.028571,0.985149,0.933673,0.051475,0.000011,0.000055,yes,as_pass
deepseek-v3.2-thinking,gpt-oss-20b,H5,422,4,0,0.990521,1.000000,-0.009479,0.980392,1.000000,-0.019608,0.125000,0.312500,no,as_pass
deepseek-v3.2-thinking,gpt-oss-20b,H6,700,6,11,0.987143,0.980000,0.007143,0.962025,0.939655,0.022370,0.332306,0.553843,no,as_pass
deepseek-v3.2-thinking,kimi-k2-thinking,H1,700,1,0,0.998571,1.000000,-0.001429,0.995918,1.000000,-0.004082,1.000000,1.000000,no,as_pass
deepseek-v3.2-thinking,kimi-k2-thinking,H2,700,0,2,0.991429,0.988571,0.002857,0.971154,0.961905,0.009249,0.500000,1.000000,no,as_pass
deepseek-v3.2-thinking,kimi-k2-thinking,H3,106,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
deepseek-v3.2-thinking,kimi-k2-thinking,H4,700,1,3,0.991429,0.988571,0.002857,0.985149,0.980100,0.005049,0.625000,1.000000,no,as_pass
deepseek-v3.2-thinking,kimi-k2-thinking,H5,422,3,2,0.990521,0.992891,-0.002370,0.980392,0.985222,-0.004830,1.000000,1.000000,no,as_pass
deepseek-v3.2-thinking,kimi-k2-thinking,H6,700,5,3,0.987143,0.990000,-0.002857,0.962025,0.970213,-0.008187,0.726563,1.000000,no,as_pass
deepseek-v3.2-thinking,qwen3-235b-a22b-thinking-2507,H1,700,0,2,0.998571,0.995714,0.002857,0.995918,0.987654,0.008264,0.500000,0.833333,no,as_pass
deepseek-v3.2-thinking,qwen3-235b-a22b-thinking-2507,H2,700,2,1,0.991429,0.992857,-0.001429,0.971154,0.975610,-0.004456,1.000000,1.000000,no,as_pass
deepseek-v3.2-thinking,qwen3-235b-a22b-thinking-2507,H3,106,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
deepseek-v3.2-thinking,qwen3-235b-a22b-thinking-2507,H4,700,0,9,0.991429,0.978571,0.012857,0.985149,0.963504,0.021645,0.003906,0.019531,yes,as_pass
deepseek-v3.2-thinking,qwen3-235b-a22b-thinking-2507,H5,422,4,2,0.990521,0.995261,-0.004739,0.980392,0.990099,-0.009707,0.687500,0.859375,no,as_pass
deepseek-v3.2-thinking,qwen3-235b-a22b-thinking-2507,H6,700,6,2,0.987143,0.992857,-0.005714,0.962025,0.978903,-0.016878,0.289063,0.722656,no,as_pass
deepseek-v3.2-thinking,qwen3-30b-a3b-thinking-2507,H1,700,0,4,0.998571,0.992857,0.005714,0.995918,0.979592,0.016327,0.125000,0.208333,no,as_pass
deepseek-v3.2-thinking,qwen3-30b-a3b-thinking-2507,H2,700,2,1,0.991429,0.992857,-0.001429,0.971154,0.975610,-0.004456,1.000000,1.000000,no,as_pass
deepseek-v3.2-thinking,qwen3-30b-a3b-thinking-2507,H3,106,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
deepseek-v3.2-thinking,qwen3-30b-a3b-thinking-2507,H4,700,2,7,0.991429,0.984286,0.007143,0.985149,0.973105,0.012043,0.179687,0.224609,no,as_pass
deepseek-v3.2-thinking,qwen3-30b-a3b-thinking-2507,H5,422,4,0,0.990521,1.000000,-0.009479,0.980392,1.000000,-0.019608,0.125000,0.208333,no,as_pass
deepseek-v3.2-thinking,qwen3-30b-a3b-thinking-2507,H6,700,7,28,0.987143,0.957143,0.030000,0.962025,0.888060,0.073966,0.000508,0.002541,yes,as_pass
deepseek-v3.2-thinking,qwen3-next-80b-a3b-thinking,H1,700,1,0,0.998571,1.000000,-0.001429,0.995918,1.000000,-0.004082,1.000000,1.000000,no,as_pass
deepseek-v3.2-thinking,qwen3-next-80b-a3b-thinking,H2,700,3,2,0.991429,0.992857,-0.001429,0.971154,0.975610,-0.004456,1.000000,1.000000,no,as_pass
deepseek-v3.2-thinking,qwen3-next-80b-a3b-thinking,H3,106,0,1,1.000000,0.990566,0.009434,1.000000,0.995074,0.004926,1.000000,1.000000,no,as_pass
deepseek-v3.2-thinking,qwen3-next-80b-a3b-thinking,H4,700,0,10,0.991429,0.977143,0.014286,0.985149,0.961165,0.023983,0.001953,0.005859,yes,as_pass
deepseek-v3.2-thinking,qwen3-next-80b-a3b-thinking,H5,422,4,0,0.990521,1.000000,-0.009479,0.980392,1.000000,-0.019608,0.125000,0.250000,no,as_pass
deepseek-v3.2-thinking,qwen3-next-80b-a3b-thinking,H6,700,3,22,0.987143,0.960000,0.027143,0.962025,0.890625,0.071400,0.000157,0.000939,yes,as_pass
deterministic-baseline,gemini-3-pro-preview-thinking,H1,700,5,3,0.992857,0.995714,-0.002857,0.980080,0.987654,-0.007575,0.726563,0.831812,no,as_pass
deterministic-baseline,gemini-3-pro-preview-thinking,H2,700,104,5,0.850000,0.991429,-0.141429,0.036697,0.970874,-0.934177,0.000000,0.000000,yes,as_pass
deterministic-baseline,gemini-3-pro-preview-thinking,H3,106,2,0,0.981132,1.000000,-0.018868,0.990099,1.000000,-0.009901,0.500000,0.831812,no,as_pass
deterministic-baseline,gemini-3-pro-preview-thinking,H4,700,12,10,0.978571,0.981429,-0.002857,0.961440,0.968370,-0.006930,0.831812,0.831812,no,as_pass
deterministic-baseline,gemini-3-pro-preview-thinking,H5,422,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
deterministic-baseline,gemini-3-pro-preview-thinking,H6,700,24,5,0.965714,0.992857,-0.027143,0.908397,0.978541,-0.070144,0.000546,0.001365,yes,as_pass
deterministic-baseline,gpt-5.2,H1,700,5,1,0.992857,0.998571,-0.005714,0.980080,0.995918,-0.015839,0.218750,0.275377,no,as_pass
deterministic-baseline,gpt-5.2,H2,700,104,11,0.850000,0.982857,-0.132857,0.036697,0.943396,-0.906699,0.000000,0.000000,yes,as_pass
deterministic-baseline,gpt-5.2,H3,106,2,0,0.981132,1.000000,-0.018868,0.990099,1.000000,-0.009901,0.500000,0.500000,no,as_pass
deterministic-baseline,gpt-5.2,H4,700,13,21,0.978571,0.967143,0.011429,0.961440,0.945626,0.015813,0.229481,0.275377,no,as_pass
deterministic-baseline,gpt-5.2,H5,422,0,7,1.000000,0.983412,0.016588,1.000000,0.966184,0.033816,0.015625,0.031250,yes,as_pass
deterministic-baseline,gpt-5.2,H6,700,7,381,0.965714,0.431429,0.534286,0.908397,0.374214,0.534183,0.000000,0.000000,yes,as_pass
deterministic-baseline,gpt-oss-120b,H1,700,4,0,0.992857,0.998571,-0.005714,0.980080,0.995951,-0.015872,0.125000,0.208333,no,as_pass
deterministic-baseline,gpt-oss-120b,H2,700,105,7,0.850000,0.990000,-0.140000,0.036697,0.966507,-0.929810,0.000000,0.000000,yes,as_pass
deterministic-baseline,gpt-oss-120b,H3,106,2,0,0.981132,1.000000,-0.018868,0.990099,1.000000,-0.009901,0.500000,0.500000,no,as_pass
deterministic-baseline,gpt-oss-120b,H4,700,13,22,0.978571,0.965714,0.012857,0.961440,0.941176,0.020263,0.175465,0.219332,no,as_pass
deterministic-baseline,gpt-oss-120b,H5,422,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
deterministic-baseline,gpt-oss-120b,H6,700,24,13,0.965714,0.981429,-0.015714,0.908397,0.945607,-0.037210,0.098872,0.208333,no,as_pass
deterministic-baseline,gpt-oss-20b,H1,700,4,1,0.992857,0.997143,-0.004286,0.980080,0.991935,-0.011856,0.375000,0.468750,no,as_pass
deterministic-baseline,gpt-oss-20b,H2,700,105,6,0.850000,0.991429,-0.141429,0.036697,0.971154,-0.934457,0.000000,0.000000,yes,as_pass
deterministic-baseline,gpt-oss-20b,H3,106,2,0,0.981132,1.000000,-0.018868,0.990099,1.000000,-0.009901,0.500000,0.500000,no,as_pass
deterministic-baseline,gpt-oss-20b,H4,700,12,23,0.978571,0.962857,0.015714,0.961440,0.933673,0.027766,0.089531,0.220830,no,as_pass
deterministic-baseline,gpt-oss-20b,H5,422,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
deterministic-baseline,gpt-oss-20b,H6,700,23,13,0.965714,0.980000,-0.014286,0.908397,0.939655,-0.031258,0.132498,0.220830,no,as_pass
deterministic-baseline,kimi-k2-thinking,H1,700,5,0,0.992857,1.000000,-0.007143,0.980080,1.000000,-0.019920,0.062500,0.125000,no,as_pass
deterministic-baseline,kimi-k2-thinking,H2,700,105,8,0.850000,0.988571,-0.138571,0.036697,0.961905,-0.925208,0.000000,0.000000,yes,as_pass
deterministic-baseline,kimi-k2-thinking,H3,106,2,0,0.981132,1.000000,-0.018868,0.990099,1.000000,-0.009901,0.500000,0.500000,no,as_pass
deterministic-baseline,kimi-k2-thinking,H4,700,10,3,0.978571,0.988571,-0.010000,0.961440,0.980100,-0.018660,0.092285,0.138428,no,as_pass
deterministic-baseline,kimi-k2-thinking,H5,422,0,3,1.000000,0.992891,0.007109,1.000000,0.985222,0.014778,0.250000,0.300000,no,as_pass
deterministic-baseline,kimi-k2-thinking,H6,700,24,7,0.965714,0.990000,-0.024286,0.908397,0.970213,-0.061816,0.003327,0.009981,yes,as_pass
deterministic-baseline,qwen3-235b-a22b-thinking-2507,H1,700,5,3,0.992857,0.995714,-0.002857,0.980080,0.987654,-0.007575,0.726563,0.871875,no,as_pass
deterministic-baseline,qwen3-235b-a22b-thinking-2507,H2,700,104,4,0.850000,0.992857,-0.142857,0.036697,0.975610,-0.938913,0.000000,0.000000,yes,as_pass
deterministic-baseline,qwen3-235b-a22b-thinking-2507,H3,106,2,0,0.981132,1.000000,-0.018868,0.990099,1.000000,-0.009901,0.500000,0.750000,no,as_pass
deterministic-baseline,qwen3-235b-a22b-thinking-2507,H4,700,12,12,0.978571,0.978571,0.000000,0.961440,0.963504,-0.002064,1.000000,1.000000,no,as_pass
deterministic-baseline,qwen3-235b-a22b-thinking-2507,H5,422,0,2,1.000000,0.995261,0.004739,1.000000,0.990099,0.009901,0.500000,0.750000,no,as_pass
deterministic-baseline,qwen3-235b-a22b-thinking-2507,H6,700,23,4,0.965714,0.992857,-0.027143,0.908397,0.978903,-0.070506,0.000311,0.000932,yes,as_pass
deterministic-baseline,qwen3-30b-a3b-thinking-2507,H1,700,5,5,0.992857,0.992857,0.000000,0.980080,0.979592,0.000488,1.000000,1.000000,no,as_pass
deterministic-baseline,qwen3-30b-a3b-thinking-2507,H2,700,104,4,0.850000,0.992857,-0.142857,0.036697,0.975610,-0.938913,0.000000,0.000000,yes,as_pass
deterministic-baseline,qwen3-30b-a3b-thinking-2507,H3,106,2,0,0.981132,1.000000,-0.018868,0.990099,1.000000,-0.009901,0.500000,0.629306,no,as_pass
deterministic-baseline,qwen3-30b-a3b-thinking-2507,H4,700,12,8,0.978571,0.984286,-0.005714,0.961440,0.973105,-0.011666,0.503445,0.629306,no,as_pass
deterministic-baseline,qwen3-30b-a3b-thinking-2507,H5,422,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
deterministic-baseline,qwen3-30b-a3b-thinking-2507,H6,700,21,27,0.965714,0.957143,0.008571,0.908397,0.888060,0.020337,0.470879,0.629306,no,as_pass
deterministic-baseline,qwen3-next-80b-a3b-thinking,H1,700,5,0,0.992857,1.000000,-0.007143,0.980080,1.000000,-0.019920,0.062500,0.156250,no,as_pass
deterministic-baseline,qwen3-next-80b-a3b-thinking,H2,700,104,4,0.850000,0.992857,-0.142857,0.036697,0.975610,-0.938913,0.000000,0.000000,yes,as_pass
deterministic-baseline,qwen3-next-80b-a3b-thinking,H3,106,1,0,0.981132,0.990566,-0.009434,0.990099,0.995074,-0.004975,1.000000,1.000000,no,as_pass
deterministic-baseline,qwen3-next-80b-a3b-thinking,H4,700,12,13,0.978571,0.977143,0.001429,0.961440,0.961165,0.000275,1.000000,1.000000,no,as_pass
deterministic-baseline,qwen3-next-80b-a3b-thinking,H5,422,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
deterministic-baseline,qwen3-next-80b-a3b-thinking,H6,700,18,22,0.965714,0.960000,0.005714,0.908397,0.890625,0.017772,0.635828,1.000000,no,as_pass
gemini-3-pro-preview-thinking,gpt-5.2,H1,700,2,0,0.995714,0.998571,-0.002857,0.987654,0.995918,-0.008264,0.500000,0.500000,no,as_pass
gemini-3-pro-preview-thinking,gpt-5.2,H2,700,0,6,0.991429,0.982857,0.008571,0.970874,0.943396,0.027478,0.031250,0.052083,no,as_pass
gemini-3-pro-preview-thinking,gpt-5.2,H3,106,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,,,no,as_pass
gemini-3-pro-preview-thinking,gpt-5.2,H4,700,9,19,0.981429,0.967143,0.014286,0.968370,0.945626,0.022743,0.087159,0.108948,no,as_pass
gemini-3-pro-preview-thinking,gpt-5.2,H5,422,0,7,1.000000,0.983412,0.016588,1.000000,0.966184,0.033816,0.015625,0.039063,yes,as_pass
gemini-3-pro-preview-thinking,gpt-5.2,H6,700,5,398,0.992857,0.431429,0.561429,0.978541,0.374214,0.604327,0.000000,0.000000,yes,as_pass
gemini-3-pro-preview-thinking,gpt-oss-120b,H1,700,3,1,0.995714,0.998571,-0.002857,0.987654,0.995951,-0.008297,0.625000,0.833333,no,as_pass
